date,PREC
12/12/2019,0.02
12/13/2019,0.51
12/14/2019,3.75
12/15/2019,0.31
12/16/2019,0.38
12/17/2019,6.3
12/18/2019,1.06
12/19/2019,0
12/20/2019,0
12/21/2019,0
12/22/2019,0
12/23/2019,0
12/24/2019,0
12/25/2019,0
12/26/2019,0
12/27/2019,0
12/28/2019,0
12/29/2019,0.36
12/30/2019,4.02
12/31/2019,1.35
1/1/2020,0
1/2/2020,0
1/3/2020,0.57
1/4/2020,1.08
1/5/2020,0.2
1/6/2020,0
1/7/2020,0.13
1/8/2020,0.53
1/9/2020,0
1/10/2020,0
1/11/2020,0
1/12/2020,0.66
1/13/2020,0.06
1/14/2020,0.03
1/15/2020,0.2
1/16/2020,0.29
1/17/2020,0
1/18/2020,0.25
1/19/2020,1.53
1/20/2020,0
1/21/2020,0
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,3.29
1/26/2020,6.63
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0.04
2/1/2020,0.24
2/2/2020,0.19
2/3/2020,0.05
2/4/2020,0.2
2/5/2020,0.27
2/6/2020,2.36
2/7/2020,2.24
2/8/2020,0.79
2/9/2020,0
2/10/2020,0.36
2/11/2020,3.09
2/12/2020,0.65
2/13/2020,1.03
2/14/2020,0.6
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0.17
2/26/2020,1.32
2/27/2020,2.18
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0.04
3/3/2020,0.32
3/4/2020,1.18
3/5/2020,0
3/6/2020,0.72
3/7/2020,1.15
3/8/2020,0
3/9/2020,0
3/10/2020,0
3/11/2020,0.04
3/12/2020,0
3/13/2020,1.1
3/14/2020,0.18
3/15/2020,0.11
3/16/2020,0
3/17/2020,0.15
3/18/2020,0.17
3/19/2020,5.19
3/20/2020,0.03
3/21/2020,0.01
3/22/2020,0
3/23/2020,0.92
3/24/2020,3.24
3/25/2020,0.02
3/26/2020,0.03
3/27/2020,0.02
3/28/2020,1.2
3/29/2020,3.89
3/30/2020,0.07
3/31/2020,0.6
4/1/2020,0.03
4/2/2020,0
4/3/2020,0
4/4/2020,0.01
4/5/2020,0.01
4/6/2020,0.11
4/7/2020,0.01
4/8/2020,1.75
4/9/2020,0.14
4/10/2020,0.12
4/11/2020,0
4/12/2020,0.07
4/13/2020,5.23
4/14/2020,3.25
4/15/2020,0.2
4/16/2020,0
4/17/2020,0
4/18/2020,0.22
4/19/2020,0.06
4/20/2020,0
4/21/2020,0.1
4/22/2020,0.59
4/23/2020,0.46
4/24/2020,3.63
4/25/2020,1.45
4/26/2020,0.26
4/27/2020,0.88
4/28/2020,0.01
4/29/2020,0
4/30/2020,0.34
5/1/2020,1.98
5/2/2020,0.02
5/3/2020,0.56
5/4/2020,0.41
5/5/2020,0
5/6/2020,0.09
5/7/2020,0.26
5/8/2020,0.32
5/9/2020,1.63
5/10/2020,0.01
5/11/2020,0.12
5/12/2020,0.04
5/13/2020,0
5/14/2020,0
5/15/2020,0.07
5/16/2020,0
5/17/2020,0
5/18/2020,0
5/19/2020,0
5/20/2020,0
5/21/2020,0
5/22/2020,0.38
5/23/2020,3.44
5/24/2020,1.68
5/25/2020,0.01
5/26/2020,0.01
5/27/2020,0
5/28/2020,0.24
5/29/2020,0.1
5/30/2020,0
5/31/2020,0
6/1/2020,0
6/2/2020,0
6/3/2020,0.89
6/4/2020,2.8
6/5/2020,2.87
6/6/2020,2.26
6/7/2020,0
6/8/2020,0
6/9/2020,0
6/10/2020,0
6/11/2020,0.74
6/12/2020,1.59
6/13/2020,0
6/14/2020,0
6/15/2020,0
6/16/2020,0
6/17/2020,0
6/18/2020,0.26
6/19/2020,1.49
6/20/2020,0.62
6/21/2020,0.8
6/22/2020,0.25
6/23/2020,0.02
6/24/2020,0
6/25/2020,0
6/26/2020,0
6/27/2020,0.03
6/28/2020,0.23
6/29/2020,0.02
6/30/2020,0.07
7/1/2020,0
7/2/2020,0
7/3/2020,0
7/4/2020,0.21
7/5/2020,0.01
7/6/2020,0.24
7/7/2020,11.8
7/8/2020,0.06
7/9/2020,0
7/10/2020,4.43
7/11/2020,16.02
7/12/2020,0.3
7/13/2020,0.7
7/14/2020,0
7/15/2020,0
7/16/2020,0
7/17/2020,0.01
7/18/2020,0
7/19/2020,0
7/20/2020,0
7/21/2020,0
7/22/2020,0.61
7/23/2020,2.35
7/24/2020,3.99
7/25/2020,6.01
7/26/2020,0.02
7/27/2020,0
7/28/2020,0
7/29/2020,0
7/30/2020,0.2
7/31/2020,1.08
8/1/2020,0.19
8/2/2020,0
8/3/2020,0.03
8/4/2020,6.92
8/5/2020,7.85
8/6/2020,0.51
8/7/2020,1.93
8/8/2020,1.34
8/9/2020,0
8/10/2020,0
8/11/2020,0
8/12/2020,2.62
8/13/2020,2.25
8/14/2020,2.6
8/15/2020,0.01
8/16/2020,2.09
8/17/2020,0.8
8/18/2020,0.24
8/19/2020,0.01
8/20/2020,0.06
8/21/2020,0
8/22/2020,0
8/23/2020,0.13
8/24/2020,1.81
8/25/2020,0
8/26/2020,0
8/27/2020,0
8/28/2020,0.52
8/29/2020,4.1
8/30/2020,0.27
8/31/2020,0.02
9/1/2020,0.23
9/2/2020,0.02
9/3/2020,0.33
9/4/2020,0.38
9/5/2020,0
9/6/2020,0
9/7/2020,0
9/8/2020,0
9/9/2020,0.48
9/10/2020,3.05
9/11/2020,1.18
9/12/2020,0
9/13/2020,0
9/14/2020,0
9/15/2020,0
9/16/2020,0
9/17/2020,0.04
9/18/2020,0.34
9/19/2020,0
9/20/2020,0
9/21/2020,0
9/22/2020,0
9/23/2020,0
9/24/2020,0
9/25/2020,0
9/26/2020,1.1
9/27/2020,0.73
9/28/2020,0.8
9/29/2020,1.57
